ANNO,ATTIVITA,REGIONE,TOTALE,DATA_ESTRAZIONE
2021,"RETTIFICA","EMILIA ROMAGNA",912,"07-09-2022 11:02:09"
2022,"RETTIFICA","EMILIA ROMAGNA",320,"07-09-2022 11:02:09"
2021,"RETTIFICA","LOMBARDIA",2,"07-09-2022 11:02:09"
2022,"AUTOCERTIFICAZIONE","LAZIO",1,"07-09-2022 11:02:09"
2022,"CERTIFICATO","EMILIA ROMAGNA",56,"07-09-2022 11:02:09"
2021,"AUTOCERTIFICAZIONE","EMILIA ROMAGNA",118,"07-09-2022 11:02:09"
2021,"CAMBIO RESIDENZA","EMILIA ROMAGNA",1510,"07-09-2022 11:02:09"
2021,"AUTOCERTIFICAZIONE","SICILIA",1,"07-09-2022 11:02:09"
2021,"RETTIFICA","PIEMONTE",2,"07-09-2022 11:02:09"
2022,"AUTOCERTIFICAZIONE","EMILIA ROMAGNA",57,"07-09-2022 11:02:09"
2022,"VISURA","PIEMONTE",2,"07-09-2022 11:02:09"
2021,"CERTIFICATO","EMILIA ROMAGNA",509,"07-09-2022 11:02:09"
2022,"VISURA","EMILIA ROMAGNA",534,"07-09-2022 11:02:09"
2021,"VISURA","LOMBARDIA",1,"07-09-2022 11:02:09"
2022,"CAMBIO RESIDENZA","EMILIA ROMAGNA",756,"07-09-2022 11:02:09"
2020,"RETTIFICA","EMILIA ROMAGNA",397,"07-09-2022 11:02:09"
2022,"VISURA","LAZIO",22,"07-09-2022 11:02:09"
2021,"VISURA","VALLE D'AOSTA",2,"07-09-2022 11:02:09"
2021,"CAMBIO RESIDENZA","LOMBARDIA",1,"07-09-2022 11:02:09"
2021,"VISURA","EMILIA ROMAGNA",1140,"07-09-2022 11:02:09"
2021,"VISURA","SICILIA",1,"07-09-2022 11:02:09"
