APR,AIRE,REGIONE,STATO_ESTERO,DATA_ESTRAZIONE
15,0,"LIGURIA",,"10-08-2022 12:30:02"
1,0,"UMBRIA",,"10-08-2022 12:30:02"
78,0,"LOMBARDIA",,"10-08-2022 12:30:02"
42,0,"TRENTINO ALTO ADIGE",,"10-08-2022 12:30:02"
3,0,"MARCHE",,"10-08-2022 12:30:02"
11,0,"FRIULI VENEZIA GIULIA",,"10-08-2022 12:30:02"
225,0,"LAZIO",,"10-08-2022 12:30:02"
55,0,"TOSCANA",,"10-08-2022 12:30:02"
1,0,"CALABRIA",,"10-08-2022 12:30:02"
65,0,"PIEMONTE",,"10-08-2022 12:30:02"
10,0,"VALLE D'AOSTA",,"10-08-2022 12:30:02"
8872,0,"EMILIA ROMAGNA",,"10-08-2022 12:30:02"
2,0,"SARDEGNA",,"10-08-2022 12:30:02"
1,0,"ABRUZZO",,"10-08-2022 12:30:02"
102,0,"SICILIA",,"10-08-2022 12:30:02"
1192,0,"VENETO",,"10-08-2022 12:30:02"
348,0,"CAMPANIA",,"10-08-2022 12:30:02"
2,0,"PUGLIA",,"10-08-2022 12:30:02"
1,0,"BASILICATA",,"10-08-2022 12:30:02"
0,12,"LOMBARDIA","IGNOTO","10-08-2022 12:30:02"
0,23,"LOMBARDIA","EGITTO","10-08-2022 12:30:02"
0,114,"LOMBARDIA","VENEZUELA","10-08-2022 12:30:02"
0,4,"LOMBARDIA","MOZAMBICO","10-08-2022 12:30:02"
0,6,"LOMBARDIA","NUOVA ZELANDA","10-08-2022 12:30:02"
0,4,"LOMBARDIA","REPUBBLICA CECA","10-08-2022 12:30:02"
0,132,"LOMBARDIA","CANADA","10-08-2022 12:30:02"
0,76,"LOMBARDIA","URUGUAY","10-08-2022 12:30:02"
0,6,"LOMBARDIA","SIRIA","10-08-2022 12:30:02"
0,6,"LOMBARDIA","CAPO VERDE","10-08-2022 12:30:02"
0,6,"LOMBARDIA","ALGERIA","10-08-2022 12:30:02"
0,4,"LOMBARDIA","SERBIA","10-08-2022 12:30:02"
0,2,"LOMBARDIA","ZAMBIA","10-08-2022 12:30:02"
0,15,"EMILIA ROMAGNA","ISOLE FALKLAND","10-08-2022 12:30:02"
0,3,"TOSCANA","REGNO UNITO","10-08-2022 12:30:02"
0,134,"EMILIA ROMAGNA","ALBANIA","10-08-2022 12:30:02"
0,41,"LAZIO","RIUNIONE","10-08-2022 12:30:02"
0,82,"EMILIA ROMAGNA","AFGHANISTAN","10-08-2022 12:30:02"
0,3,"TOSCANA","FRANCIA","10-08-2022 12:30:02"
0,12,"PIEMONTE","STATI UNITI D'AMERICA","10-08-2022 12:30:02"
0,3,"EMILIA ROMAGNA","ESTONIA","10-08-2022 12:30:02"
0,10,"EMILIA ROMAGNA","ATOLLO DI CLIPPERTON","10-08-2022 12:30:02"
0,1,"EMILIA ROMAGNA","CAMBOGIA","10-08-2022 12:30:02"
0,1,"EMILIA ROMAGNA","MAROCCO","10-08-2022 12:30:02"
0,1,"EMILIA ROMAGNA","SAN MARINO","10-08-2022 12:30:02"
0,197,"LAZIO","FRANCIA","10-08-2022 12:30:02"
0,808,"LOMBARDIA","GERMANIA","10-08-2022 12:30:02"
0,25,"LOMBARDIA","EMIRATI ARABI UNITI","10-08-2022 12:30:02"
0,30,"LOMBARDIA","NICARAGUA","10-08-2022 12:30:02"
0,8,"LOMBARDIA","ETIOPIA","10-08-2022 12:30:02"
0,40,"LOMBARDIA","MESSICO","10-08-2022 12:30:02"
0,8,"LOMBARDIA","KENYA","10-08-2022 12:30:02"
0,20,"LOMBARDIA","GIAPPONE","10-08-2022 12:30:02"
0,1,"EMILIA ROMAGNA","CILE","10-08-2022 12:30:02"
0,1,"VENETO","AUSTRALIA","10-08-2022 12:30:02"
0,1,"TRENTINO ALTO ADIGE","AUSTRALIA","10-08-2022 12:30:02"
0,2,"ABRUZZO","BRASILE","10-08-2022 12:30:02"
0,72,"EMILIA ROMAGNA","PAESI BASSI","10-08-2022 12:30:02"
0,107,"EMILIA ROMAGNA","ALGERIA","10-08-2022 12:30:02"
0,1,"VENETO","EGITTO","10-08-2022 12:30:02"
0,5,"EMILIA ROMAGNA","AZERBAIGIAN","10-08-2022 12:30:02"
0,22,"EMILIA ROMAGNA","REPUBBLICA DOMINICANA","10-08-2022 12:30:02"
0,27,"PIEMONTE","FRANCIA","10-08-2022 12:30:02"
0,17,"EMILIA ROMAGNA","GERMANIA","10-08-2022 12:30:02"
0,42,"EMILIA ROMAGNA","BURKINA FASO","10-08-2022 12:30:02"
0,1,"EMILIA ROMAGNA","INDIA","10-08-2022 12:30:02"
0,2,"EMILIA ROMAGNA","BENIN","10-08-2022 12:30:02"
0,3,"PIEMONTE","EGITTO","10-08-2022 12:30:02"
0,3,"EMILIA ROMAGNA","PORTOGALLO","10-08-2022 12:30:02"
0,1,"PIEMONTE","BIELORUSSIA","10-08-2022 12:30:02"
0,1,"PIEMONTE","AUSTRALIA","10-08-2022 12:30:02"
0,6,"VENETO","FRANCIA","10-08-2022 12:30:02"
0,1,"EMILIA ROMAGNA","MALI","10-08-2022 12:30:02"
0,1,"EMILIA ROMAGNA","ISOLE CAYMAN","10-08-2022 12:30:02"
0,1,"LIGURIA","ARGENTINA","10-08-2022 12:30:02"
0,44,"EMILIA ROMAGNA","ANDORRA","10-08-2022 12:30:02"
0,220,"LOMBARDIA","CILE","10-08-2022 12:30:02"
0,239,"LOMBARDIA","BELGIO","10-08-2022 12:30:02"
0,4,"LOMBARDIA","UCRAINA","10-08-2022 12:30:02"
0,68,"LOMBARDIA","ISRAELE","10-08-2022 12:30:02"
0,14,"LOMBARDIA","CROAZIA","10-08-2022 12:30:02"
0,4,"LOMBARDIA","FINLANDIA","10-08-2022 12:30:02"
0,8,"LOMBARDIA","BANGLADESH","10-08-2022 12:30:02"
0,2,"LAZIO","GUADALUPA","10-08-2022 12:30:02"
0,2,"LAZIO","BERMUDA","10-08-2022 12:30:02"
0,1,"EMILIA ROMAGNA","GUADALUPA","10-08-2022 12:30:02"
0,15,"ABRUZZO","REGNO UNITO","10-08-2022 12:30:02"
0,18,"EMILIA ROMAGNA","IGNOTO","10-08-2022 12:30:02"
0,23,"EMILIA ROMAGNA","GEORGIA DEL SUD E SANDWICH AUSTRALI","10-08-2022 12:30:02"
0,34,"EMILIA ROMAGNA","BELGIO","10-08-2022 12:30:02"
0,52,"EMILIA ROMAGNA","ANGOLA","10-08-2022 12:30:02"
0,14,"EMILIA ROMAGNA","GERUSALEMME","10-08-2022 12:30:02"
0,3,"EMILIA ROMAGNA","REPUBBLICA CECA","10-08-2022 12:30:02"
0,5,"EMILIA ROMAGNA","BAHREIN","10-08-2022 12:30:02"
0,2,"EMILIA ROMAGNA","BULGARIA","10-08-2022 12:30:02"
0,3,"EMILIA ROMAGNA","FEDERAZIONE RUSSA","10-08-2022 12:30:02"
0,1,"LAZIO","COLOMBIA","10-08-2022 12:30:02"
0,2,"EMILIA ROMAGNA","TAIWAN","10-08-2022 12:30:02"
0,7,"EMILIA ROMAGNA","TURCHIA","10-08-2022 12:30:02"
0,3,"EMILIA ROMAGNA","BONAIRE, SINT EUSTATIUS, SABA","10-08-2022 12:30:02"
0,3,"EMILIA ROMAGNA","ROMANIA","10-08-2022 12:30:02"
0,2,"EMILIA ROMAGNA","NUOVA ZELANDA","10-08-2022 12:30:02"
0,3,"EMILIA ROMAGNA","VENEZUELA","10-08-2022 12:30:02"
0,2,"LAZIO","VENEZUELA","10-08-2022 12:30:02"
0,4,"LAZIO","POLINESIA FRANCESE","10-08-2022 12:30:02"
0,1,"PIEMONTE","ANDORRA","10-08-2022 12:30:02"
