MESE,ANNO,REGIONE,COD ISTAT REGIONE,STATO ESTERO,CODICE ISO STATO,TIPO SOGGETTO,RETTIFICHE,CAMBI DI RESIDENZA,AUTOCERTIFICAZIONI,VISURE,CERTIFICATI,TOTALE
4,2021,CALABRIA,18,AUSTRIA,AUT,AIRE,0,0,1,0,0,1
4,2021,LAZIO,12,AUSTRIA,AUT,AIRE,0,0,2,3,0,5
4,2021,SICILIA,19,AUSTRIA,AUT,AIRE,0,0,2,1,0,3
4,2021,TRENTINO ALTO ADIGE,04,AUSTRIA,AUT,AIRE,0,0,1,0,0,1
4,2021,LAZIO,12,BELGIO,BEL,AIRE,0,0,2,5,0,7
4,2021,LOMBARDIA,03,BELGIO,BEL,AIRE,0,0,0,1,0,1
4,2021,CALABRIA,18,BRASILE,BRA,AIRE,0,0,1,0,0,1
4,2021,LOMBARDIA,03,BRASILE,BRA,AIRE,0,0,1,0,0,1
4,2021,MOLISE,14,BRASILE,BRA,AIRE,0,0,2,3,0,5
4,2021,TOSCANA,09,BRASILE,BRA,AIRE,0,0,2,1,0,3
4,2021,UMBRIA,10,BRASILE,BRA,AIRE,0,0,0,6,0,6
4,2021,VENETO,05,BRASILE,BRA,AIRE,0,0,4,0,0,4
4,2021,SICILIA,19,BULGARIA,BGR,AIRE,0,0,0,1,0,1
4,2021,LOMBARDIA,03,CANADA,CAN,AIRE,0,0,1,5,0,6
4,2021,LAZIO,12,COLOMBIA,COL,AIRE,0,0,0,1,0,1
4,2021,CAMPANIA,15,DANIMARCA,DNK,AIRE,0,0,1,3,0,4
4,2021,LOMBARDIA,03,EGITTO,EGY,AIRE,0,0,3,36,0,39
4,2021,CAMPANIA,15,FINLANDIA,FIN,AIRE,0,0,0,1,0,1
4,2021,ABRUZZO,13,FRANCIA,FRA,AIRE,0,0,2,1,0,3
4,2021,LAZIO,12,FRANCIA,FRA,AIRE,0,0,2,7,0,9
4,2021,LIGURIA,07,FRANCIA,FRA,AIRE,0,0,1,0,0,1
4,2021,LOMBARDIA,03,FRANCIA,FRA,AIRE,0,0,1,0,0,1
4,2021,PUGLIA,16,FRANCIA,FRA,AIRE,0,0,2,0,0,2
4,2021,TOSCANA,09,FRANCIA,FRA,AIRE,0,0,1,0,0,1
4,2021,ABRUZZO,13,GERMANIA,DEU,AIRE,0,0,1,0,0,1
4,2021,CAMPANIA,15,GERMANIA,DEU,AIRE,0,0,1,0,0,1
4,2021,LAZIO,12,GERMANIA,DEU,AIRE,0,0,1,1,0,2
4,2021,LOMBARDIA,03,GERMANIA,DEU,AIRE,0,0,1,1,0,2
4,2021,SICILIA,19,GERMANIA,DEU,AIRE,0,0,3,0,0,3
4,2021,TOSCANA,09,GERMANIA,DEU,AIRE,0,0,0,2,0,2
4,2021,VENETO,05,GERMANIA,DEU,AIRE,0,0,0,1,0,1
4,2021,SICILIA,19,IRLANDA,IRL,AIRE,0,0,1,0,0,1
4,2021,LAZIO,12,ISRAELE,ISR,AIRE,0,0,2,1,0,3
4,2021,VENETO,05,LETTONIA,LVA,AIRE,0,0,1,1,0,2
4,2021,LAZIO,12,MAROCCO,MAR,AIRE,0,0,11,2,0,13
4,2021,LOMBARDIA,03,NEPAL,NPL,AIRE,0,0,1,0,0,1
4,2021,LOMBARDIA,03,NORVEGIA,NOR,AIRE,0,0,1,0,0,1
4,2021,LAZIO,12,NUOVA ZELANDA,NZL,AIRE,0,0,1,1,0,2
4,2021,LAZIO,12,PAESI BASSI,NLD,AIRE,0,0,3,3,0,6
4,2021,LOMBARDIA,03,PAESI BASSI,NLD,AIRE,0,0,4,0,0,4
4,2021,TRENTINO ALTO ADIGE,04,PAESI BASSI,NLD,AIRE,0,0,0,1,0,1
4,2021,EMILIA ROMAGNA,08,PERU',PER,AIRE,0,0,1,0,0,1
