MESE,ANNO,PARTENZA,COD ISTAT REGIONE DI PARTENZA,ARRIVO,COD ISTAT REGIONE DI ARRIVO,TOTALE
1,2016,,,,,2
2,2016,ESTERO,,,,18
6,2016,EMILIA ROMAGNA,08,ESTERO,,5
6,2016,ESTERO,,ESTERO,,20
6,2016,,,ESTERO,,20
7,2016,ESTERO,,ESTERO,,8
7,2016,,,ESTERO,,8
9,2016,EMILIA ROMAGNA,08,EMILIA ROMAGNA,08,27
9,2016,EMILIA ROMAGNA,08,ESTERO,01,2
9,2016,EMILIA ROMAGNA,08,ESTERO,,2
9,2016,EMILIA ROMAGNA,08,,,2
9,2016,ESTERO,01,EMILIA ROMAGNA,08,2
9,2016,ESTERO,01,ESTERO,01,2
9,2016,ESTERO,01,ESTERO,,1
9,2016,ESTERO,,EMILIA ROMAGNA,08,6
9,2016,ESTERO,,ESTERO,01,13
9,2016,ESTERO,,ESTERO,,7
9,2016,,,ESTERO,,2
10,2016,CAMPANIA,15,EMILIA ROMAGNA,08,13
10,2016,EMILIA ROMAGNA,08,EMILIA ROMAGNA,08,263
10,2016,EMILIA ROMAGNA,08,ESTERO,,3
10,2016,EMILIA ROMAGNA,08,LAZIO,12,6
10,2016,EMILIA ROMAGNA,08,TOSCANA,09,2
10,2016,ESTERO,01,ESTERO,01,17
10,2016,ESTERO,01,ESTERO,,2
10,2016,ESTERO,01,,,1
10,2016,ESTERO,,ESTERO,01,17
10,2016,ESTERO,,ESTERO,,27
10,2016,LAZIO,12,EMILIA ROMAGNA,08,1
10,2016,LAZIO,12,ESTERO,,1
10,2016,LAZIO,12,,,1
10,2016,,,EMILIA ROMAGNA,08,41
10,2016,,,ESTERO,,13
10,2016,,,TOSCANA,09,1
10,2016,,,,,2
11,2016,EMILIA ROMAGNA,08,ESTERO,,1
11,2016,ESTERO,,ESTERO,,3
11,2016,ESTERO,,,,1
11,2016,,,EMILIA ROMAGNA,08,4
11,2016,,,ESTERO,,1
12,2016,EMILIA ROMAGNA,08,EMILIA ROMAGNA,08,30
1,2017,EMILIA ROMAGNA,08,EMILIA ROMAGNA,08,1
1,2017,EMILIA ROMAGNA,08,ESTERO,,1
2,2017,CAMPANIA,15,EMILIA ROMAGNA,08,4
2,2017,EMILIA ROMAGNA,08,EMILIA ROMAGNA,08,26
2,2017,ESTERO,,EMILIA ROMAGNA,08,1
2,2017,ESTERO,,ESTERO,01,5
2,2017,,,EMILIA ROMAGNA,08,4
3,2017,CAMPANIA,15,EMILIA ROMAGNA,08,10
3,2017,EMILIA ROMAGNA,08,EMILIA ROMAGNA,08,94
3,2017,EMILIA ROMAGNA,08,ESTERO,,4
3,2017,ESTERO,01,ESTERO,01,1
3,2017,ESTERO,01,,,1
3,2017,ESTERO,,ESTERO,01,9
3,2017,ESTERO,,ESTERO,,6
3,2017,,,EMILIA ROMAGNA,08,11
3,2017,,,ESTERO,,5
3,2017,,,,,1
4,2017,CAMPANIA,15,CAMPANIA,15,8
4,2017,CAMPANIA,15,EMILIA ROMAGNA,08,15
4,2017,CAMPANIA,15,ESTERO,,1
4,2017,CAMPANIA,15,,,2
4,2017,EMILIA ROMAGNA,08,CALABRIA,18,2
4,2017,EMILIA ROMAGNA,08,CAMPANIA,15,2
4,2017,EMILIA ROMAGNA,08,EMILIA ROMAGNA,08,52
4,2017,EMILIA ROMAGNA,08,ESTERO,,3
4,2017,EMILIA ROMAGNA,08,LAZIO,12,17
4,2017,ESTERO,01,EMILIA ROMAGNA,08,5
4,2017,ESTERO,01,ESTERO,01,8
4,2017,ESTERO,01,ESTERO,,1
4,2017,ESTERO,,EMILIA ROMAGNA,08,5
4,2017,ESTERO,,ESTERO,01,7
4,2017,ESTERO,,ESTERO,,4
4,2017,LIGURIA,07,EMILIA ROMAGNA,08,2
4,2017,,,EMILIA ROMAGNA,08,8
4,2017,,,ESTERO,,2
5,2017,CAMPANIA,15,EMILIA ROMAGNA,08,1
5,2017,EMILIA ROMAGNA,08,EMILIA ROMAGNA,08,104
5,2017,EMILIA ROMAGNA,08,ESTERO,01,2
5,2017,EMILIA ROMAGNA,08,ESTERO,,13
5,2017,EMILIA ROMAGNA,08,,,1
5,2017,ESTERO,01,ESTERO,01,3
5,2017,ESTERO,01,ESTERO,,1
5,2017,ESTERO,,ESTERO,01,4
5,2017,ESTERO,,ESTERO,,27
5,2017,LAZIO,12,ESTERO,,9
5,2017,TOSCANA,09,ESTERO,,1
5,2017,,,EMILIA ROMAGNA,08,5
5,2017,,,ESTERO,01,10
5,2017,,,ESTERO,,24
5,2017,,,,,1
6,2017,CAMPANIA,15,EMILIA ROMAGNA,08,5
6,2017,EMILIA ROMAGNA,08,EMILIA ROMAGNA,08,3
6,2017,ESTERO,01,ESTERO,01,1
6,2017,ESTERO,,ESTERO,01,2
6,2017,ESTERO,,ESTERO,,5
6,2017,,,EMILIA ROMAGNA,08,3
6,2017,,,ESTERO,,4
7,2017,EMILIA ROMAGNA,08,EMILIA ROMAGNA,08,6
7,2017,ESTERO,,EMILIA ROMAGNA,08,3
8,2017,CAMPANIA,15,ESTERO,,1
8,2017,EMILIA ROMAGNA,08,EMILIA ROMAGNA,08,112
8,2017,EMILIA ROMAGNA,08,ESTERO,,12
8,2017,ESTERO,01,ESTERO,01,8
8,2017,ESTERO,,EMILIA ROMAGNA,08,1
8,2017,ESTERO,,ESTERO,01,6
8,2017,ESTERO,,ESTERO,,3
8,2017,ESTERO,,PIEMONTE,01,2
8,2017,ESTERO,,,,3
8,2017,,,EMILIA ROMAGNA,08,1
8,2017,,,ESTERO,,10
