MESE,ANNO,PARTENZA,COD ISTAT REGIONE DI PARTENZA,ARRIVO,COD ISTAT REGIONE DI ARRIVO,TOTALE
10,2022,PIEMONTE,01,SICILIA,19,5
10,2022,PIEMONTE,01,LAZIO,12,2
10,2022,PIEMONTE,01,MARCHE,11,2
10,2022,PIEMONTE,01,LOMBARDIA,03,27
10,2022,LOMBARDIA,03,LIGURIA,07,8
10,2022,LOMBARDIA,03,FRIULI VENEZIA GIULIA,06,1
10,2022,LOMBARDIA,03,VENETO,05,17
10,2022,VENETO,05,SICILIA,19,6
10,2022,VENETO,05,CAMPANIA,15,3
10,2022,VENETO,05,UMBRIA,10,1
10,2022,VENETO,05,FRIULI VENEZIA GIULIA,06,8
10,2022,ESTERO,05,LOMBARDIA,03,1
10,2022,FRIULI VENEZIA GIULIA,06,CAMPANIA,15,1
10,2022,LIGURIA,07,LAZIO,12,1
10,2022,LIGURIA,07,TOSCANA,09,6
10,2022,EMILIA ROMAGNA,08,LAZIO,12,4
10,2022,ESTERO,08,EMILIA ROMAGNA,08,7
10,2022,EMILIA ROMAGNA,08,FRIULI VENEZIA GIULIA,06,1
10,2022,EMILIA ROMAGNA,08,LOMBARDIA,03,16
10,2022,TOSCANA,09,LOMBARDIA,03,13
10,2022,UMBRIA,10,MOLISE,14,3
10,2022,UMBRIA,10,MARCHE,11,2
10,2022,LAZIO,12,FRIULI VENEZIA GIULIA,06,3
10,2022,CAMPANIA,15,SICILIA,19,10
10,2022,CAMPANIA,15,CAMPANIA,15,1005
10,2022,ESTERO,16,PUGLIA,16,13
10,2022,PUGLIA,16,FRIULI VENEZIA GIULIA,06,2
10,2022,BASILICATA,17,PUGLIA,16,4
10,2022,BASILICATA,17,PIEMONTE,01,2
10,2022,CALABRIA,18,ABRUZZO,13,2
10,2022,CALABRIA,18,LAZIO,12,4
10,2022,CALABRIA,18,LIGURIA,07,1
10,2022,CALABRIA,18,VENETO,05,8
10,2022,CALABRIA,18,VALLE D'AOSTA,02,1
10,2022,SARDEGNA,20,SARDEGNA,20,491
10,2022,SARDEGNA,20,UMBRIA,10,1
10,2022,SARDEGNA,20,LIGURIA,07,1
10,2022,SARDEGNA,20,LOMBARDIA,03,5
10,2022,LOMBARDIA,03,SARDEGNA,20,5
10,2022,TRENTINO ALTO ADIGE,04,SARDEGNA,20,2
10,2022,TRENTINO ALTO ADIGE,04,PUGLIA,16,2
10,2022,TRENTINO ALTO ADIGE,04,PIEMONTE,01,2
10,2022,VENETO,05,LOMBARDIA,03,21
10,2022,FRIULI VENEZIA GIULIA,06,FRIULI VENEZIA GIULIA,06,270
10,2022,LIGURIA,07,ABRUZZO,13,1
10,2022,LIGURIA,07,PIEMONTE,01,5
10,2022,EMILIA ROMAGNA,08,SICILIA,19,6
10,2022,EMILIA ROMAGNA,08,CAMPANIA,15,7
10,2022,EMILIA ROMAGNA,08,TOSCANA,09,9
10,2022,UMBRIA,10,CAMPANIA,15,1
10,2022,ESTERO,10,UMBRIA,10,4
10,2022,UMBRIA,10,LIGURIA,07,1
10,2022,MARCHE,11,EMILIA ROMAGNA,08,11
10,2022,MARCHE,11,LOMBARDIA,03,2
10,2022,LAZIO,12,CAMPANIA,15,10
10,2022,LAZIO,12,ABRUZZO,13,7
10,2022,LAZIO,12,MARCHE,11,1
10,2022,ABRUZZO,13,ABRUZZO,13,395
10,2022,MOLISE,14,MOLISE,14,94
10,2022,ESTERO,15,SICILIA,19,2
10,2022,CAMPANIA,15,BASILICATA,17,2
10,2022,CAMPANIA,15,ABRUZZO,13,7
10,2022,CAMPANIA,15,MARCHE,11,2
10,2022,CAMPANIA,15,LIGURIA,07,2
10,2022,CAMPANIA,15,FRIULI VENEZIA GIULIA,06,8
10,2022,CAMPANIA,15,LOMBARDIA,03,54
10,2022,CALABRIA,18,BASILICATA,17,1
10,2022,CALABRIA,18,TOSCANA,09,7
10,2022,CALABRIA,18,EMILIA ROMAGNA,08,6
10,2022,SICILIA,19,LOMBARDIA,03,67
10,2022,ESTERO,20,SARDEGNA,20,6
10,2022,SARDEGNA,20,EMILIA ROMAGNA,08,1
10,2022,PIEMONTE,01,TOSCANA,09,4
10,2022,PIEMONTE,01,PIEMONTE,01,1126
10,2022,ESTERO,01,PIEMONTE,01,12
10,2022,VALLE D'AOSTA,02,LAZIO,12,2
10,2022,LOMBARDIA,03,SICILIA,19,17
10,2022,LOMBARDIA,03,PUGLIA,16,7
10,2022,LOMBARDIA,03,LAZIO,12,18
10,2022,LOMBARDIA,03,EMILIA ROMAGNA,08,19
10,2022,TRENTINO ALTO ADIGE,04,SICILIA,19,3
10,2022,TRENTINO ALTO ADIGE,04,LOMBARDIA,03,1
10,2022,VENETO,05,PUGLIA,16,3
10,2022,FRIULI VENEZIA GIULIA,06,TRENTINO ALTO ADIGE,04,1
10,2022,ESTERO,07,LIGURIA,07,5
10,2022,EMILIA ROMAGNA,08,ABRUZZO,13,5
10,2022,EMILIA ROMAGNA,08,VENETO,05,12
10,2022,TOSCANA,09,SICILIA,19,5
10,2022,TOSCANA,09,TOSCANA,09,1170
10,2022,TOSCANA,09,VENETO,05,7
10,2022,MARCHE,11,CAMPANIA,15,1
10,2022,MARCHE,11,FRIULI VENEZIA GIULIA,06,1
10,2022,LAZIO,12,MOLISE,14,2
10,2022,ESTERO,12,LAZIO,12,11
10,2022,ESTERO,12,UMBRIA,10,3
10,2022,LAZIO,12,EMILIA ROMAGNA,08,4
10,2022,LAZIO,12,VENETO,05,12
10,2022,LAZIO,12,LOMBARDIA,03,26
10,2022,ABRUZZO,13,TOSCANA,09,3
10,2022,ABRUZZO,13,EMILIA ROMAGNA,08,5
10,2022,MOLISE,14,VENETO,05,1
10,2022,CAMPANIA,15,PIEMONTE,01,17
10,2022,PUGLIA,16,SICILIA,19,3
10,2022,PUGLIA,16,CAMPANIA,15,2
10,2022,PUGLIA,16,LAZIO,12,7
10,2022,PUGLIA,16,EMILIA ROMAGNA,08,24
10,2022,PUGLIA,16,VENETO,05,15
10,2022,BASILICATA,17,SICILIA,19,1
10,2022,BASILICATA,17,MOLISE,14,1
10,2022,BASILICATA,17,EMILIA ROMAGNA,08,4
10,2022,CALABRIA,18,UMBRIA,10,2
10,2022,CALABRIA,18,LOMBARDIA,03,27
10,2022,SICILIA,19,SICILIA,19,2174
10,2022,SICILIA,19,CALABRIA,18,5
10,2022,SICILIA,19,MARCHE,11,4
10,2022,PIEMONTE,01,EMILIA ROMAGNA,08,9
10,2022,PIEMONTE,01,LIGURIA,07,10
10,2022,VALLE D'AOSTA,02,TOSCANA,09,1
10,2022,LOMBARDIA,03,CAMPANIA,15,14
10,2022,LOMBARDIA,03,LOMBARDIA,03,3345
10,2022,LOMBARDIA,03,PIEMONTE,01,22
10,2022,TRENTINO ALTO ADIGE,04,MARCHE,11,1
10,2022,TRENTINO ALTO ADIGE,04,VENETO,05,1
10,2022,ESTERO,04,TRENTINO ALTO ADIGE,04,5
10,2022,FRIULI VENEZIA GIULIA,06,LOMBARDIA,03,2
10,2022,EMILIA ROMAGNA,08,PUGLIA,16,9
10,2022,EMILIA ROMAGNA,08,MOLISE,14,1
10,2022,EMILIA ROMAGNA,08,MARCHE,11,7
10,2022,EMILIA ROMAGNA,08,UMBRIA,10,2
10,2022,EMILIA ROMAGNA,08,EMILIA ROMAGNA,08,1517
10,2022,EMILIA ROMAGNA,08,PIEMONTE,01,2
10,2022,TOSCANA,09,LIGURIA,07,6
10,2022,UMBRIA,10,CALABRIA,18,2
10,2022,UMBRIA,10,UMBRIA,10,447
10,2022,UMBRIA,10,TRENTINO ALTO ADIGE,04,1
10,2022,MARCHE,11,TOSCANA,09,1
10,2022,LAZIO,12,CALABRIA,18,7
10,2022,LAZIO,12,LIGURIA,07,2
10,2022,ESTERO,13,ABRUZZO,13,1
10,2022,ABRUZZO,13,LOMBARDIA,03,3
