MESE,ANNO,TIPO SOGGETTO,TIPOLOGIA CERTIFICATO,BOLLO,IN CARTA LIBERA,TOTALE
10,2022,Residenti,Residenza,2323,2929,5252
10,2022,Residenti,Stato famiglia e stato civile,326,435,761
10,2022,Residenti,Stato famiglia con rapporti parentela,360,471,831
10,2022,Residenti,Stato civile,462,536,998
10,2022,AIRE,nascita,17,9,26
10,2022,AIRE,Stato famiglia AIRE,13,11,24
10,2022,AIRE,Cittadinanza,2,2,4
10,2022,Residenti,Stato famiglia,1887,2948,4835
10,2022,Residenti,nascita,589,780,1369
10,2022,Residenti,Stato Libero,284,253,537
10,2022,AIRE,Residenza AIRE,30,19,49
10,2022,Residenti,Esistenza in vita,63,83,146
10,2022,AIRE,matrimonio,1,2,3
10,2022,Residenti,CONTESTUALE,2370,4146,6516
10,2022,AIRE,CONTESTUALE,14,19,33
10,2022,Residenti,matrimonio,584,651,1235
10,2022,Residenti,Cittadinanza,92,84,176
10,2022,Residenti,Residenza in convivenza,1,3,4
10,2022,Residenti,unione civile ,3,1,4
10,2022,Residenti,Contratto Convivenza,2,0,2
