MESE,ANNO,TIPO SOGGETTO,TIPOLOGIA DI RETTIFICA,STATO DI LAVORAZIONE,TOTALE
11,2020,AIRE,ATTO DI NASCITA: LUOGONASCITA,IN LAVORAZIONE,1
11,2020,AIRE,ATTO DI NASCITA: NOME,IN LAVORAZIONE,1
11,2020,AIRE,CARTA DI IDENTITÀ: DATAANNULLAMENTO,IN LAVORAZIONE,1
11,2020,AIRE,CARTA DI IDENTITÀ: DATARILASCIO,IN LAVORAZIONE,1
11,2020,AIRE,CARTA DI IDENTITÀ: DATASCADENZA,IN LAVORAZIONE,1
11,2020,AIRE,FAMIGLIA/CONVIVENZA: CONIUGENOME,IN LAVORAZIONE,2
11,2020,AIRE,FAMIGLIA/CONVIVENZA: DATAEVENTO,IN LAVORAZIONE,1
11,2020,AIRE,FAMIGLIA/CONVIVENZA: DATANASCITA,IN LAVORAZIONE,2
11,2020,AIRE,FAMIGLIA/CONVIVENZA: DATAORIGINE,IN LAVORAZIONE,1
11,2020,AIRE,FAMIGLIA/CONVIVENZA: LUOGOEVENTO,IN LAVORAZIONE,3
11,2020,AIRE,GENERALITÀ: COGNOME,IN LAVORAZIONE,5
11,2020,AIRE,GENERALITÀ: DATANASCITA,IN LAVORAZIONE,9
11,2020,AIRE,GENERALITÀ: NOME,IN LAVORAZIONE,9
11,2020,AIRE,LEGAME PARENTELA,IN LAVORAZIONE,3
11,2020,AIRE,MATRIMONIO: CONIUGECOGNOME,IN LAVORAZIONE,1
11,2020,AIRE,MATRIMONIO: CONIUGENOME,IN LAVORAZIONE,3
11,2020,AIRE,MATRIMONIO: DATAEVENTO,IN LAVORAZIONE,3
11,2020,AIRE,MATRIMONIO: DATANASCITA,IN LAVORAZIONE,4
11,2020,AIRE,MATRIMONIO: LUOGOEVENTO,IN LAVORAZIONE,5
11,2020,AIRE,MATRIMONIO: NOME,IN LAVORAZIONE,1
11,2020,AIRE,RESIDENZA: DECORRENZARESIDENZA,IN LAVORAZIONE,5
11,2020,AIRE,RESIDENZA: SPECIE,IN LAVORAZIONE,2
11,2020,AIRE,STATO CIVILE: STATOCIVILE,IN LAVORAZIONE,1
11,2020,AIRE,VEDOVANZA: DATAEVENTO,IN LAVORAZIONE,1
11,2020,AIRE,VEDOVANZA: DATAFORMAZIONEATTO,IN LAVORAZIONE,1
11,2020,Residenti,ATTO DI NASCITA: ANNO,ACCOLTA,1
11,2020,Residenti,ATTO DI NASCITA: COMUNEREGISTRAZIONE,IN LAVORAZIONE,3
11,2020,Residenti,ATTO DI NASCITA: DATANASCITA,IN LAVORAZIONE,1
11,2020,Residenti,ATTO DI NASCITA: LUOGONASCITA,IN LAVORAZIONE,2
11,2020,Residenti,ATTO DI NASCITA: NOME,IN LAVORAZIONE,4
11,2020,Residenti,CARTA DI IDENTITÀ: COGNOME,IN LAVORAZIONE,1
11,2020,Residenti,CARTA DI IDENTITÀ: DATAANNULLAMENTO,IN LAVORAZIONE,1
11,2020,Residenti,CARTA DI IDENTITÀ: DATARILASCIO,IN LAVORAZIONE,1
11,2020,Residenti,CARTA DI IDENTITÀ: DATASCADENZA,IN LAVORAZIONE,2
11,2020,Residenti,CARTA DI IDENTITÀ: LUOGONASCITA,IN LAVORAZIONE,1
11,2020,Residenti,CARTA DI IDENTITÀ: NOME,IN LAVORAZIONE,3
11,2020,Residenti,CARTA DI IDENTITÀ: NUMERO,IN LAVORAZIONE,1
11,2020,Residenti,CITTADINANZA: LUOGONASCITA,IN LAVORAZIONE,1
11,2020,Residenti,FAMIGLIA/CONVIVENZA: DATAORIGINE,IN LAVORAZIONE,1
11,2020,Residenti,FAMIGLIA/CONVIVENZA: NOME,IN LAVORAZIONE,1
11,2020,Residenti,GENERALITÀ: CODICEFISCALE,IN LAVORAZIONE,1
11,2020,Residenti,GENERALITÀ: COGNOME,IN LAVORAZIONE,13
11,2020,Residenti,GENERALITÀ: COGNOME,RESPINTA,1
11,2020,Residenti,GENERALITÀ: DATANASCITA,ACCOLTA,1
11,2020,Residenti,GENERALITÀ: DATANASCITA,IN LAVORAZIONE,6
11,2020,Residenti,GENERALITÀ: LUOGONASCITA,IN LAVORAZIONE,4
11,2020,Residenti,GENERALITÀ: NOME,ACCOLTA,1
11,2020,Residenti,GENERALITÀ: NOME,IN LAVORAZIONE,41
11,2020,Residenti,GENERALITÀ: NOME,RESPINTA,1
11,2020,Residenti,GENERALITÀ: SESSO,IN LAVORAZIONE,1
11,2020,Residenti,LEGAME PARENTELA,ACCOLTA,3
11,2020,Residenti,LEGAME PARENTELA,IN LAVORAZIONE,12
11,2020,Residenti,RESIDENZA: CIVICO,IN LAVORAZIONE,1
11,2020,Residenti,RESIDENZA: DECORRENZARESIDENZA,IN LAVORAZIONE,2
11,2020,Residenti,RESIDENZA: LUOGONASCITA,IN LAVORAZIONE,1
11,2020,Residenti,RESIDENZA: SPECIE,IN LAVORAZIONE,5
11,2020,Residenti,STATO CIVILE: NOME,IN LAVORAZIONE,1
11,2020,Residenti,STATO CIVILE: STATOCIVILE,ACCOLTA,1
11,2020,Residenti,STATO CIVILE: STATOCIVILE,IN LAVORAZIONE,13
12,2020,AIRE,GENERALITÀ: COGNOME,IN LAVORAZIONE,8
12,2020,AIRE,GENERALITÀ: COGNOME,RESPINTA,3
12,2020,AIRE,GENERALITÀ: DATANASCITA,IN LAVORAZIONE,2
12,2020,AIRE,GENERALITÀ: NOME,ACCOLTA,3
12,2020,AIRE,GENERALITÀ: NOME,IN LAVORAZIONE,15
12,2020,AIRE,GENERALITÀ: NOME,RESPINTA,4
12,2020,AIRE,GENERALITÀ: SESSO,IN LAVORAZIONE,1
12,2020,AIRE,LEGAME PARENTELA,IN LAVORAZIONE,1
12,2020,AIRE,MATRIMONIO: LUOGOEVENTO,IN LAVORAZIONE,1
12,2020,AIRE,STATO CIVILE: STATOCIVILE,IN LAVORAZIONE,4
12,2020,AIRE,STATO CIVILE: STATOCIVILE,RESPINTA,1
12,2020,Residenti,ATTO DI NASCITA: ANNO,IN LAVORAZIONE,3
12,2020,Residenti,ATTO DI NASCITA: COMUNEREGISTRAZIONE,ACCOLTA,1
12,2020,Residenti,ATTO DI NASCITA: COMUNEREGISTRAZIONE,IN LAVORAZIONE,5
12,2020,Residenti,ATTO DI NASCITA: PARTE,IN LAVORAZIONE,2
12,2020,Residenti,ATTO DI NASCITA: SERIE,IN LAVORAZIONE,1
12,2020,Residenti,CARTA DI IDENTITÀ: CARTACEAELETTRONICA,IN LAVORAZIONE,1
12,2020,Residenti,CARTA DI IDENTITÀ: COMUNERILASCIO,IN LAVORAZIONE,1
12,2020,Residenti,CARTA DI IDENTITÀ: DATAANNULLAMENTO,IN LAVORAZIONE,1
12,2020,Residenti,CARTA DI IDENTITÀ: DATARILASCIO,IN LAVORAZIONE,2
12,2020,Residenti,CARTA DI IDENTITÀ: DATASCADENZA,IN LAVORAZIONE,2
12,2020,Residenti,CARTA DI IDENTITÀ: DATASCADENZA,RESPINTA,1
12,2020,Residenti,CARTA DI IDENTITÀ: NUMERO,IN LAVORAZIONE,3
12,2020,Residenti,GENERALITÀ: CODICEFISCALE,IN LAVORAZIONE,2
12,2020,Residenti,GENERALITÀ: COGNOME,ACCOLTA,1
12,2020,Residenti,GENERALITÀ: COGNOME,IN LAVORAZIONE,24
12,2020,Residenti,GENERALITÀ: COGNOME,RESPINTA,4
12,2020,Residenti,GENERALITÀ: DATANASCITA,IN LAVORAZIONE,18
12,2020,Residenti,GENERALITÀ: LUOGONASCITA,IN LAVORAZIONE,2
12,2020,Residenti,GENERALITÀ: NOME,ACCOLTA,1
12,2020,Residenti,GENERALITÀ: NOME,IN LAVORAZIONE,55
12,2020,Residenti,GENERALITÀ: NOME,RESPINTA,5
12,2020,Residenti,GENERALITÀ: SESSO,IN LAVORAZIONE,9
12,2020,Residenti,LEGAME PARENTELA,IN LAVORAZIONE,10
12,2020,Residenti,RESIDENZA: CAP,IN LAVORAZIONE,1
12,2020,Residenti,RESIDENZA: CIVICO,IN LAVORAZIONE,2
12,2020,Residenti,RESIDENZA: COMUNE,IN LAVORAZIONE,1
12,2020,Residenti,RESIDENZA: DENOMINAZIONETOPONIMO,IN LAVORAZIONE,3
