MESE,ANNO,TIPO SOGGETTO,STATO DI LAVORAZIONE,TIPOLOGIA,TOTALE
8,2021,Residenti,ACCOLTA,STESSO COMUNE,5
8,2021,Residenti,IN LAVORAZIONE,STESSO COMUNE,37
8,2021,Residenti,IRRICEVIBILE,STESSO COMUNE,1
8,2021,Residenti,RESPINTA,STESSO COMUNE,1
9,2021,AIRE,IN LAVORAZIONE,RIENTRI AIRE,7
9,2021,Residenti,ACCOLTA,STESSO COMUNE,29
9,2021,Residenti,IN LAVORAZIONE,STESSO COMUNE,278
9,2021,Residenti,IRRICEVIBILE,STESSO COMUNE,3
9,2021,Residenti,RESPINTA,STESSO COMUNE,6
10,2021,AIRE,IN LAVORAZIONE,RIENTRI AIRE,8
10,2021,Residenti,ACCOLTA,STESSO COMUNE,22
10,2021,Residenti,IN LAVORAZIONE,STESSO COMUNE,103
11,2021,AIRE,ACCOLTA,RIENTRI AIRE,35
11,2021,AIRE,IN LAVORAZIONE,RIENTRI AIRE,40
11,2021,AIRE,RESPINTA,RIENTRI AIRE,1
11,2021,Residenti,ACCOLTA,DIVERSA REGIONE,2
11,2021,Residenti,ACCOLTA,STESSO COMUNE,352
11,2021,Residenti,IN LAVORAZIONE,DIVERSA REGIONE,1
11,2021,Residenti,IN LAVORAZIONE,STESSO COMUNE,784
11,2021,Residenti,IRRICEVIBILE,STESSO COMUNE,6
11,2021,Residenti,RESPINTA,STESSO COMUNE,21
12,2021,AIRE,IN LAVORAZIONE,RIENTRI AIRE,7
12,2021,Residenti,ACCOLTA,STESSO COMUNE,145
12,2021,Residenti,IN LAVORAZIONE,DIVERSA REGIONE,20
12,2021,Residenti,IN LAVORAZIONE,STESSA REGIONE,1
12,2021,Residenti,IN LAVORAZIONE,STESSO COMUNE,365
12,2021,Residenti,IRRICEVIBILE,STESSO COMUNE,12
12,2021,Residenti,RESPINTA,STESSO COMUNE,4
4,2022,AIRE,IN LAVORAZIONE,RIENTRI AIRE,1
4,2022,Residenti,ACCOLTA,STESSO COMUNE,49
4,2022,Residenti,IN LAVORAZIONE,DIVERSA REGIONE,1
4,2022,Residenti,IN LAVORAZIONE,STESSA REGIONE,2
4,2022,Residenti,IN LAVORAZIONE,STESSO COMUNE,186
4,2022,Residenti,IRRICEVIBILE,STESSO COMUNE,3
4,2022,Residenti,RESPINTA,STESSO COMUNE,6
5,2022,AIRE,ACCOLTA,RIENTRI AIRE,2
5,2022,AIRE,IN LAVORAZIONE,RIENTRI AIRE,7
5,2022,Residenti,ACCOLTA,STESSO COMUNE,57
5,2022,Residenti,IN LAVORAZIONE,DIVERSA REGIONE,5
5,2022,Residenti,IN LAVORAZIONE,STESSA REGIONE,3
5,2022,Residenti,IN LAVORAZIONE,STESSO COMUNE,213
5,2022,Residenti,IRRICEVIBILE,STESSO COMUNE,13
5,2022,Residenti,RESPINTA,STESSO COMUNE,10
6,2022,AIRE,ACCOLTA,RIENTRI AIRE,1
6,2022,AIRE,IN LAVORAZIONE,RIENTRI AIRE,3
6,2022,Residenti,ACCOLTA,STESSA REGIONE,1
6,2022,Residenti,ACCOLTA,STESSO COMUNE,23
6,2022,Residenti,IN LAVORAZIONE,DIVERSA REGIONE,2
6,2022,Residenti,IN LAVORAZIONE,STESSA REGIONE,1
6,2022,Residenti,IN LAVORAZIONE,STESSO COMUNE,76
6,2022,Residenti,IRRICEVIBILE,STESSO COMUNE,1
6,2022,Residenti,RESPINTA,STESSO COMUNE,1
7,2022,AIRE,ACCOLTA,RIENTRI AIRE,2
7,2022,AIRE,IN LAVORAZIONE,RIENTRI AIRE,16
7,2022,AIRE,RESPINTA,RIENTRI AIRE,1
7,2022,Residenti,ACCOLTA,DIVERSA REGIONE,1
7,2022,Residenti,ACCOLTA,STESSO COMUNE,27
7,2022,Residenti,IN LAVORAZIONE,DIVERSA REGIONE,5
7,2022,Residenti,IN LAVORAZIONE,STESSA REGIONE,1
7,2022,Residenti,IN LAVORAZIONE,STESSO COMUNE,144
7,2022,Residenti,IRRICEVIBILE,STESSO COMUNE,2
7,2022,Residenti,RESPINTA,STESSO COMUNE,3
8,2022,AIRE,ACCOLTA,RIENTRI AIRE,1
8,2022,AIRE,IN LAVORAZIONE,RIENTRI AIRE,4
8,2022,Residenti,ACCOLTA,STESSO COMUNE,11
8,2022,Residenti,IN LAVORAZIONE,DIVERSA REGIONE,1
8,2022,Residenti,IN LAVORAZIONE,STESSO COMUNE,43
8,2022,Residenti,IRRICEVIBILE,STESSO COMUNE,1
8,2022,Residenti,RESPINTA,STESSO COMUNE,2
9,2022,AIRE,ACCOLTA,RIENTRI AIRE,2
9,2022,AIRE,IN LAVORAZIONE,RIENTRI AIRE,18
9,2022,AIRE,RESPINTA,RIENTRI AIRE,1
9,2022,Residenti,ACCOLTA,STESSA REGIONE,1
9,2022,Residenti,ACCOLTA,STESSO COMUNE,9
9,2022,Residenti,IN LAVORAZIONE,DIVERSA REGIONE,2
9,2022,Residenti,IN LAVORAZIONE,STESSA REGIONE,1
9,2022,Residenti,IN LAVORAZIONE,STESSO COMUNE,55
9,2022,Residenti,RESPINTA,STESSO COMUNE,2
10,2022,AIRE,IN LAVORAZIONE,RIENTRI AIRE,1
10,2022,Residenti,ACCOLTA,DIVERSA REGIONE,1
10,2022,Residenti,ACCOLTA,STESSO COMUNE,9
10,2022,Residenti,IN LAVORAZIONE,DIVERSA REGIONE,2
10,2022,Residenti,IN LAVORAZIONE,STESSO COMUNE,51
10,2022,Residenti,RESPINTA,STESSO COMUNE,1
11,2022,AIRE,IN LAVORAZIONE,RIENTRI AIRE,2
11,2022,Residenti,ACCOLTA,STESSO COMUNE,1
11,2022,Residenti,IN LAVORAZIONE,DIVERSA REGIONE,1
11,2022,Residenti,IN LAVORAZIONE,STESSA REGIONE,1
11,2022,Residenti,IN LAVORAZIONE,STESSO COMUNE,9
