MESE,ANNO,TIPO SOGGETTO,AUTOCERTIFICAZIONI,VISURE,TOTALE
11,2020,AIRE,0,0,21
11,2020,Residenti,0,0,160
12,2020,AIRE,0,0,32
12,2020,Residenti,0,0,183
1,2021,AIRE,0,0,2
1,2021,Residenti,0,0,62
2,2021,AIRE,0,0,21
2,2021,Residenti,0,0,122
3,2021,AIRE,0,0,1
3,2021,Residenti,0,0,174
4,2021,AIRE,1,20,31
4,2021,Residenti,84,377,634
5,2021,AIRE,0,3,8
5,2021,Residenti,2,110,180
6,2021,AIRE,0,12,14
6,2021,Residenti,3,57,87
7,2021,AIRE,1,22,42
7,2021,Residenti,2,46,111
8,2021,AIRE,0,0,1
8,2021,Residenti,1,63,135
9,2021,AIRE,0,0,8
9,2021,Residenti,3,39,384
10,2021,AIRE,0,22,44
10,2021,Residenti,12,165,537
11,2021,AIRE,3,15,86
11,2021,Residenti,5,153,1202
12,2021,AIRE,0,0,6
12,2021,Residenti,2,40,307
1,2022,AIRE,2,9,49
1,2022,Residenti,18,83,348
2,2022,AIRE,0,11,62
2,2022,Residenti,3,50,177
3,2022,AIRE,0,17,53
3,2022,Residenti,7,53,171
4,2022,AIRE,0,0,1
4,2022,Residenti,8,42,112
5,2022,AIRE,1,44,65
5,2022,Residenti,3,105,339
6,2022,AIRE,0,5,9
6,2022,Residenti,1,50,119
7,2022,AIRE,3,14,29
7,2022,Residenti,12,42,165
8,2022,AIRE,1,11,15
8,2022,Residenti,3,149,233
9,2022,AIRE,2,58,76
9,2022,Residenti,42,155,277
10,2022,AIRE,0,3,6
10,2022,Residenti,0,45,104
11,2022,AIRE,0,3,12
11,2022,Residenti,0,15,39
